"cpa","symbol","kultura_na","ha"
"2565.001",479,"trvalý trávny porast","0.1104"
"2566.000",479,"trvalý trávny porast","0.0433"
"2565.002",479,"trvalý trávny porast","0.0245"
"1169.006",479,"trvalý trávny porast","0.0414"
"1169.001",479,"trvalý trávny porast","1.7556"
"1169.001",479,"orná pôda","0.5814"
"1169.001",479,"orná pôda","0.2754"
"1169.007",479,"trvalý trávny porast","0.0610"
"1169.008",479,"trvalý trávny porast","0.0681"
"1675.003",432,"trvalý trávny porast","0.0024"
"1675.003",432,"trvalý trávny porast","0.0003"
"1675.003",432,"orná pôda","0.0007"
"1675.004",432,"trvalý trávny porast","0.0000"
"1675.005",432,"trvalý trávny porast","0.0023"
"1284.008",479,"orná pôda","0.0042"
"1284.011",479,"trvalý trávny porast","0.1195"
"1284.011",479,"orná pôda","2.2586"
"1284.010",479,"orná pôda","0.0432"
"1284.012",479,"orná pôda","0.0334"
"1284.020",479,"trvalý trávny porast","0.0001"
"1284.017",479,"trvalý trávny porast","0.0098"
"1284.037",479,"orná pôda","0.0001"
"1284.038",479,"orná pôda","0.0057"
"1284.039",479,"orná pôda","0.0051"
"1284.040",479,"orná pôda","0.0046"
"1284.041",479,"orná pôda","0.0063"
"1284.042",479,"orná pôda","0.0073"
"1284.043",479,"orná pôda","0.0041"
"1284.044",479,"orná pôda","0.0001"
"1285.026",42,"orná pôda","0.0001"
"1762.001",238,"trvalý trávny porast","0.2297"
"2315.001",479,"orná pôda","0.0007"
"2315.002",431,"orná pôda","0.0029"
"2158.001",479,"orná pôda","0.0016"
"1720.015",432,"trvalý trávny porast","0.0091"
"1720.014",432,"trvalý trávny porast","0.0075"
"1720.014",432,"trvalý trávny porast","0.0053"
"1720.019",432,"trvalý trávny porast","0.0016"
"1720.013",432,"trvalý trávny porast","0.0028"
"1720.012",432,"trvalý trávny porast","0.0108"
"1720.011",432,"trvalý trávny porast","0.0005"
"1720.009",432,"trvalý trávny porast","0.1195"
"1678.009",432,"trvalý trávny porast","0.0074"
"1678.008",432,"trvalý trávny porast","0.0055"
"1722.009",432,"trvalý trávny porast","0.0005"
"1721.001",432,"trvalý trávny porast","0.0002"
"1722.008",432,"trvalý trávny porast","0.0022"
"1722.006",432,"trvalý trávny porast","0.0000"
"1722.006",432,"trvalý trávny porast","0.0013"
"1722.007",432,"trvalý trávny porast","0.0003"
"1722.005",432,"trvalý trávny porast","0.0354"
"1722.003",432,"trvalý trávny porast","0.0008"
"1722.002",432,"trvalý trávny porast","0.0099"
"1722.004",432,"trvalý trávny porast","0.0061"
"1722.001",432,"trvalý trávny porast","0.0119"
"1721.005",432,"trvalý trávny porast","0.0268"
"1721.005",432,"trvalý trávny porast","0.0116"
"1721.005",432,"trvalý trávny porast","0.0005"
"1721.004",432,"trvalý trávny porast","0.0389"
"1721.004",432,"trvalý trávny porast","0.0077"
"1721.001",432,"trvalý trávny porast","0.0462"
"1721.006",432,"trvalý trávny porast","0.0006"
"1721.003",432,"trvalý trávny porast","0.0205"
"1721.003",432,"trvalý trávny porast","0.0002"
"1174.034",479,"trvalý trávny porast","0.0009"
"1174.033",479,"trvalý trávny porast","0.0006"
"1174.035",479,"trvalý trávny porast","0.0017"
"1174.036",479,"trvalý trávny porast","0.0024"
"1174.037",479,"trvalý trávny porast","0.0027"
"1174.038",479,"trvalý trávny porast","0.0018"
"1174.039",479,"trvalý trávny porast","0.0037"
"1174.040",479,"trvalý trávny porast","0.0025"
"1174.041",479,"trvalý trávny porast","0.0046"
"1174.042",479,"trvalý trávny porast","0.0066"
"1174.043",479,"trvalý trávny porast","0.0036"
"1174.044",479,"trvalý trávny porast","0.0000"
"1174.045",479,"trvalý trávny porast","0.0003"
"1174.001",479,"trvalý trávny porast","0.0009"
"1677.001",432,"trvalý trávny porast","0.0016"
"1677.001",432,"trvalý trávny porast","0.0241"
"1677.002",432,"trvalý trávny porast","0.0022"
"1677.003",432,"trvalý trávny porast","0.0012"
"1677.004",432,"trvalý trávny porast","0.0016"
"1677.005",432,"trvalý trávny porast","0.0016"
"1677.006",432,"trvalý trávny porast","0.0014"
"1677.007",432,"trvalý trávny porast","0.0008"
"1677.008",432,"trvalý trávny porast","0.0014"
"1677.009",432,"trvalý trávny porast","0.0008"
"1677.010",432,"trvalý trávny porast","0.0015"
"1677.011",432,"trvalý trávny porast","0.0015"
"1677.012",432,"trvalý trávny porast","0.0003"
"1612.001",32,"trvalý trávny porast","0.3771"
"1612.001",32,"trvalý trávny porast","0.0372"
"1179.001",32,"trvalý trávny porast","0.1802"
"2398.004",479,"trvalý trávny porast","0.0009"
"1179.001",32,"trvalý trávny porast","0.0617"
"1179.001",32,"trvalý trávny porast","0.0003"
"1288.001",32,"trvalý trávny porast","0.0070"
"1288.001",32,"trvalý trávny porast","0.2272"
"1338.001",42,"trvalý trávny porast","0.0016"
"1387.001",32,"trvalý trávny porast","16.3736"
"1387.001",32,"trvalý trávny porast","0.4784"
"1387.001",32,"trvalý trávny porast","0.5514"
"1387.001",32,"trvalý trávny porast","0.1120"
"1387.001",32,"trvalý trávny porast","0.7822"
